37;78;12;12;70;0;9;22
17;26;4;39;21;0;91;50
7;52;9;42;38;0;25;81
-20;99;13;65;52;78;99;47
-19;83;8;16;31;84;53;2
16;67;14;21;77;0;80;99
-2;7;3;58;41;50;81;94
13;93;7;57;80;0;89;25
-18;31;3;15;9;45;97;99
11;66;14;35;99;0;93;41
36;4;5;0;50;0;85;30
36;57;14;25;90;0;98;29
24;2;11;9;41;0;50;65
-26;55;10;37;45;9;62;16
-2;99;12;0;20;99;49;45
24;38;6;61;36;0;65;24
21;55;14;48;83;0;64;26
-5;58;6;53;88;48;65;48
-27;75;10;56;17;98;53;89
24;31;4;40;96;0;76;100
14;29;6;22;97;0;98;47
-2;79;7;10;64;24;58;44
-23;0;12;21;34;66;17;57
3;27;3;47;21;37;54;6
-9;61;8;56;47;46;17;69
5;57;5;63;27;2;34;29
-9;32;3;19;77;65;42;34
2;72;14;3;76;30;25;3
-13;45;12;1;66;79;98;64
28;11;11;53;31;0;28;29
2;93;13;25;89;15;26;29
16;19;3;23;74;0;52;12
34;21;4;22;64;0;82;18
-9;63;7;24;58;44;65;86
16;2;2;30;47;0;11;85
35;37;13;70;16;0;18;83
-2;44;3;8;71;19;59;43
39;64;7;20;62;0;27;84
7;58;12;45;81;0;54;21
-19;30;0;1;7;28;96;43
14;65;14;34;22;0;7;11
1;73;6;19;22;3;52;96
-17;49;8;6;84;29;18;52
-4;29;3;20;94;7;69;12
-9;48;8;0;83;29;13;4
23;41;1;5;19;0;54;31
-18;63;5;60;53;49;18;11
-21;45;2;43;19;2;79;17
-3;4;4;68;75;47;51;13
33;35;8;23;42;0;17;9
-8;83;14;1;65;60;21;16
14;11;5;30;55;0;69;67
36;2;14;17;74;0;3;86
10;56;10;8;20;0;96;17
37;86;10;68;36;0;82;78
-16;0;2;40;17;89;70;85
-4;4;14;32;23;41;51;35
-18;43;0;33;26;41;30;52
-3;26;14;47;25;68;46;19
31;88;11;0;83;0;67;57
-20;15;10;13;68;16;76;72
23;44;7;36;53;0;30;34
6;79;10;44;18;0;91;89
-29;58;10;41;78;58;34;67
5;52;7;61;91;32;54;22
13;36;9;38;22;0;23;75
-20;93;13;37;37;95;30;20
3;65;3;8;14;49;9;38
-18;37;1;66;99;1;66;39
-29;97;8;5;26;55;36;67
25;84;8;46;89;0;4;98
20;19;4;1;21;0;64;19
-3;72;7;69;46;17;13;28
22;13;4;35;51;0;39;38
-15;94;13;20;60;32;29;95
1;50;1;28;38;75;67;100
1;75;12;41;84;55;29;9
-17;53;7;6;40;38;39;54
10;33;14;26;9;0;92;4
30;10;11;5;47;0;32;77
22;53;1;10;83;0;75;68
26;54;10;46;83;0;9;6
26;20;8;4;11;0;60;83
-27;78;4;63;53;71;97;48
-26;46;12;54;43;79;98;0
-12;55;9;61;77;80;29;72
-12;82;14;3;90;23;1;36
21;94;10;53;79;0;24;29
-28;71;5;34;20;85;5;67
-11;83;2;20;51;47;74;6
-13;48;8;45;71;73;92;58
27;45;6;3;48;0;8;22
-15;1;3;42;15;43;31;8
31;20;2;49;21;0;70;96
4;88;14;62;45;27;20;61
11;30;11;53;65;0;75;39
-30;18;2;43;98;26;25;87
10;63;14;28;70;0;43;55
-28;69;13;62;96;56;4;59
13;95;0;29;68;0;30;35
